36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
02:34:31.0 (308357)|USER_INFO|[EXTERNAL]|0057F000000Tiz6|ksb994@salesforce.com|Pacific Standard Time|GMT-08:00
02:34:31.0 (340070)|EXECUTION_STARTED
02:34:31.0 (343788)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000004uJm5|VF: /apex/PM_Project_New
02:34:31.12 (12792830)|SYSTEM_MODE_ENTER|true
02:34:31.12 (12920824)|HEAP_ALLOCATE|[72]|Bytes:3
02:34:31.12 (12958150)|HEAP_ALLOCATE|[77]|Bytes:152
02:34:31.12 (12974714)|HEAP_ALLOCATE|[342]|Bytes:408
02:34:31.12 (12991551)|HEAP_ALLOCATE|[355]|Bytes:408
02:34:31.12 (13007018)|HEAP_ALLOCATE|[467]|Bytes:48
02:34:31.13 (13259387)|SYSTEM_MODE_ENTER|true
02:34:31.13 (13309075)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
02:34:31.13 (13317266)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
02:34:31.13 (13353557)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3aa677f
02:34:31.13 (13360541)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
02:34:31.13 (13368705)|VARIABLE_ASSIGNMENT|[88]|escape|null
02:34:31.13 (13511591)|SYSTEM_MODE_ENTER|true
02:34:31.13 (13540651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
02:34:31.13 (13546865)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
02:34:31.13 (13566163)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x3aa677f
02:34:31.0 (36369430)|SYSTEM_MODE_ENTER|true
02:34:31.0 (36589138)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
02:34:31.0 (36602543)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
02:34:31.0 (36625382)|METHOD_ENTRY|[1]|01p7F00000EhPEd|Project_PM_Controller.Project_PM_Controller()
02:34:31.0 (36632140)|STATEMENT_EXECUTE|[1]
02:34:31.0 (36638298)|STATEMENT_EXECUTE|[1]
02:34:31.0 (36653330)|SYSTEM_MODE_ENTER|false
02:34:31.0 (36662578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
02:34:31.0 (36670384)|SYSTEM_MODE_EXIT|false
02:34:31.0 (36680114)|METHOD_EXIT|[1]|Project_PM_Controller
02:34:31.0 (36726949)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
02:34:31.0 (36774032)|VARIABLE_SCOPE_BEGIN|[10]|this|Project_PM_Controller|true|false
02:34:31.0 (36822936)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x23ff317f
02:34:31.0 (36835020)|VARIABLE_SCOPE_BEGIN|[10]|stdController|ApexPages.StandardController|true|false
02:34:31.0 (36969834)|VARIABLE_ASSIGNMENT|[10]|stdController|"StandardController [null]"|0x4594ffbd
02:34:31.0 (36990954)|SYSTEM_MODE_ENTER|false
02:34:31.0 (36996871)|HEAP_ALLOCATE|[6]|Bytes:5
02:34:31.0 (37002045)|STATEMENT_EXECUTE|[1]
02:34:31.0 (37006999)|HEAP_ALLOCATE|[6]|Bytes:5
02:34:31.0 (37009942)|STATEMENT_EXECUTE|[2]
02:34:31.0 (37011133)|STATEMENT_EXECUTE|[3]
02:34:31.0 (37012223)|STATEMENT_EXECUTE|[5]
02:34:31.0 (37013095)|STATEMENT_EXECUTE|[6]
02:34:31.0 (37028460)|HEAP_ALLOCATE|[6]|Bytes:4
02:34:31.0 (37091613)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (37104932)|VARIABLE_ASSIGNMENT|[6]|this.usersList|[]|0x23ff317f
02:34:31.0 (37110650)|STATEMENT_EXECUTE|[8]
02:34:31.0 (37114303)|HEAP_ALLOCATE|[8]|Bytes:4
02:34:31.0 (37122493)|VARIABLE_ASSIGNMENT|[8]|this.saveAndNew|1|0x23ff317f
02:34:31.0 (37144968)|STATEMENT_EXECUTE|[10]
02:34:31.0 (37146055)|STATEMENT_EXECUTE|[11]
02:34:31.0 (37220448)|VARIABLE_ASSIGNMENT|[11]|this.controller|"StandardController [null]"|0x23ff317f
02:34:31.0 (37227232)|STATEMENT_EXECUTE|[12]
02:34:31.0 (37347279)|HEAP_ALLOCATE|[12]|Bytes:4
02:34:31.0 (37373869)|VARIABLE_ASSIGNMENT|[12]|this.project|{}|0x23ff317f
02:34:31.0 (37379863)|STATEMENT_EXECUTE|[13]
02:34:31.0 (37388000)|HEAP_ALLOCATE|[13]|Bytes:4
02:34:31.0 (37513985)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"controller":"StandardController [[Project__c (]]","project":"0x3a97b6fb","saveAndNew":1,"usersList":"0x61ea3b21"}|0x23ff317f
02:34:31.0 (37537677)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (37544296)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x3e149b6
02:34:31.0 (37555431)|VARIABLE_ASSIGNMENT|[5]|this.selectedUsers|[]|0x23ff317f
02:34:31.0 (37568542)|SYSTEM_MODE_EXIT|false
02:34:31.0 (50247922)|SYSTEM_MODE_ENTER|true
02:34:31.0 (50315773)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:164
02:34:31.0 (50327217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
02:34:31.0 (50346020)|METHOD_ENTRY|[5]|01p7F00000Ehg8E|MultiselectController.MultiselectController()
02:34:31.0 (50351564)|STATEMENT_EXECUTE|[5]
02:34:31.0 (50356782)|STATEMENT_EXECUTE|[5]
02:34:31.0 (50367591)|SYSTEM_MODE_ENTER|false
02:34:31.0 (50378537)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
02:34:31.0 (50387055)|SYSTEM_MODE_EXIT|false
02:34:31.0 (50396408)|METHOD_EXIT|[5]|MultiselectController
02:34:31.0 (50413805)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
02:34:31.0 (50420761)|VARIABLE_SCOPE_BEGIN|[5]|this|MultiselectController|true|false
02:34:31.0 (50464307)|VARIABLE_ASSIGNMENT|[5]|this|{}|0x1f191381
02:34:31.0 (50478671)|SYSTEM_MODE_ENTER|false
02:34:31.0 (50483133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
02:34:31.0 (50509451)|SYSTEM_MODE_EXIT|false
02:34:31.0 (50513848)|STATEMENT_EXECUTE|[5]
02:34:31.0 (50518887)|SYSTEM_MODE_ENTER|false
02:34:31.0 (50523119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
02:34:31.0 (50525920)|STATEMENT_EXECUTE|[7]
02:34:31.0 (50527031)|STATEMENT_EXECUTE|[8]
02:34:31.0 (50527899)|STATEMENT_EXECUTE|[23]
02:34:31.0 (50528927)|STATEMENT_EXECUTE|[31]
02:34:31.0 (50530286)|SYSTEM_MODE_EXIT|false
02:34:31.0 (50663383)|SYSTEM_MODE_ENTER|true
02:34:31.0 (50703692)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
02:34:31.0 (50774592)|VARIABLE_SCOPE_BEGIN|[16]|this|Project_PM_Controller|true|false
02:34:31.0 (50980023)|VARIABLE_ASSIGNMENT|[16]|this|{"controller":"StandardController [[Project__c (]]","project":"0x3a97b6fb","saveAndNew":1,"selectedUsers":"0x3e149b6","usersList":"0x61ea3b21"}|0x23ff317f
02:34:31.0 (51012410)|SYSTEM_MODE_ENTER|false
02:34:31.0 (51021192)|HEAP_ALLOCATE|[17]|Bytes:5
02:34:31.0 (51026523)|STATEMENT_EXECUTE|[16]
02:34:31.0 (51027691)|STATEMENT_EXECUTE|[17]
02:34:31.0 (51031773)|HEAP_ALLOCATE|[17]|Bytes:62
02:34:31.0 (51052250)|HEAP_ALLOCATE|[17]|Bytes:4
02:34:31.0 (51298868)|SOQL_EXECUTE_BEGIN|[17]|Aggregations:0|SELECT Id, Name FROM User WHERE UserRoleId = '00E7F000000Mdri'
02:34:31.0 (59123210)|SOQL_EXECUTE_END|[17]|Rows:6
02:34:31.0 (59143406)|HEAP_ALLOCATE|[17]|Bytes:28
02:34:31.0 (59164909)|HEAP_ALLOCATE|[17]|Bytes:271
02:34:31.0 (59234942)|HEAP_ALLOCATE|[17]|Bytes:28
02:34:31.0 (59248689)|VARIABLE_SCOPE_BEGIN|[17]|users|List<User>|true|false
02:34:31.0 (59267605)|VARIABLE_ASSIGNMENT|[17]|users|"List of size 6 too large to display"|0x70f46b5f
02:34:31.0 (59415206)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59433118)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59440676)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59455229)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TpdFQAS","Name":"Mani Sasank"}|0x6091d8d3
02:34:31.0 (59462051)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59463331)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59505182)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59568697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59587287)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59597503)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59602969)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59615330)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBBQA0","Name":"Santhosh"}|0x181966c1
02:34:31.0 (59621207)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59622256)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59631090)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59646100)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59655050)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59662569)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59667476)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59677805)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBGQA0","Name":"Ravi teja"}|0x6e2bcd12
02:34:31.0 (59682694)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59683663)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59688931)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59697417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59704742)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59711266)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59714967)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59724300)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBVQA0","Name":"Yashwanth"}|0xaa7345
02:34:31.0 (59729239)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59730209)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59735011)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59743014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59750313)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59756803)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59761065)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59770164)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000Tz0iQAC","Name":"Richa"}|0x6e1374c3
02:34:31.0 (59775200)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59776059)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59780464)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59788119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59795822)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59802324)|HEAP_ALLOCATE|[18]|Bytes:12
02:34:31.0 (59806344)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
02:34:31.0 (59815368)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000Tz0sQAC","Name":"Veeresh"}|0x3d6f38ae
02:34:31.0 (59819721)|STATEMENT_EXECUTE|[18]
02:34:31.0 (59820558)|STATEMENT_EXECUTE|[19]
02:34:31.0 (59825480)|HEAP_ALLOCATE|[19]|Bytes:18
02:34:31.0 (59833290)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (59840460)|HEAP_ALLOCATE|[18]|Bytes:5
02:34:31.0 (59848406)|VARIABLE_ASSIGNMENT|[18]|usr|null|
02:34:31.0 (59853672)|STATEMENT_EXECUTE|[21]
02:34:31.0 (59861172)|SYSTEM_MODE_EXIT|false
02:34:31.0 (59975943)|SYSTEM_MODE_ENTER|true
02:34:31.0 (60032655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
02:34:31.0 (60038522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
02:34:31.0 (60051426)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.leftOptions|"List of size 6 too large to display"|0x1f191381
02:34:31.0 (60144325)|SYSTEM_MODE_ENTER|true
02:34:31.0 (60197620)|SYSTEM_MODE_ENTER|true
02:34:31.0 (60228870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (60233373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
02:34:31.0 (60242736)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.rightOptions|[]|0x1f191381
02:34:31.0 (60370182)|SYSTEM_MODE_ENTER|true
02:34:31.0 (60577758)|SYSTEM_MODE_ENTER|true
02:34:31.110 (110011623)|SYSTEM_MODE_ENTER|true
02:34:31.110 (110090033)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
02:34:31.110 (110103025)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
02:34:31.110 (110135307)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3aa677f
02:34:31.110 (110142794)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
02:34:31.110 (110151204)|VARIABLE_ASSIGNMENT|[88]|escape|null
02:34:31.110 (110290356)|SYSTEM_MODE_ENTER|true
02:34:31.110 (110320147)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
02:34:31.110 (110326927)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
02:34:31.110 (110349881)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x3aa677f
02:34:31.0 (115637355)|SYSTEM_MODE_ENTER|true
02:34:31.0 (115691779)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
02:34:31.0 (115699312)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
02:34:31.0 (115715804)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.leftOptions|"List of size 6 too large to display"|0x1f191381
02:34:31.0 (115787928)|SYSTEM_MODE_ENTER|true
02:34:31.0 (115813290)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
02:34:31.0 (115818361)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
02:34:31.0 (115827488)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.rightOptions|[]|0x1f191381
02:34:31.0 (116364482)|SYSTEM_MODE_ENTER|true
02:34:31.0 (118582158)|SYSTEM_MODE_ENTER|true
02:34:31.0 (119222672)|SYSTEM_MODE_ENTER|true
02:34:31.0 (119300418)|SYSTEM_MODE_ENTER|true
02:34:31.0 (123965690)|VF_SERIALIZE_VIEWSTATE_BEGIN|0667F000004uJm5
02:34:31.0 (127219825)|VF_SERIALIZE_VIEWSTATE_END
02:34:31.129 (129318095)|CUMULATIVE_LIMIT_USAGE
